time,Year,Season,North California (38-42N),Central California (34.5-38N),Southern California (32-34.5N)
4/30/2015,2015,AMJ,2.911605409,5.255882698,3.882814937
7/31/2015,2015,JAS,8.340061159,11.01377681,3.669410314
10/31/2015,2015,OND,4.014909819,5.301620232,3.310966318
1/31/2016,2016,JFM,5.765529401,4.394010011,3.614509902
4/30/2016,2016,AMJ,3.359602587,4.240174385,2.205194352
7/31/2016,2016,JAS,-2.130645327,-0.984159077,1.554902351
10/31/2016,2016,OND,3.711624597,1.445863056,0.555233628
1/31/2017,2017,JFM,3.10919822,3.284554131,1.127719678
4/30/2017,2017,AMJ,2.663050408,2.328778531,1.819197224
7/31/2017,2017,JAS,1.815431372,3.339159799,1.047096676
10/31/2017,2017,OND,-1.541499712,1.033301565,0.582823955
1/31/2018,2018,JFM,-1.349373308,0.287150877,0.706911019
4/30/2018,2018,AMJ,0.568106424,0.723965467,0.19096046
7/31/2018,2018,JAS,-0.466965634,0.322649803,2.697375217
10/31/2018,2018,OND,0.975402219,4.168478871,1.950242554
1/31/2019,2019,JFM,3.484256254,5.540096566,1.805788086
4/30/2019,2019,AMJ,4.16857925,7.601082522,1.533341664
7/31/2019,2019,JAS,1.783307649,1.436288975,1.527931571
10/31/2019,2019,OND,0.905914374,3.289848554,2.401332133
1/31/2020,2020,JFM,-3.513212945,-1.356438396,1.035237409
4/30/2020,2020,AMJ,2.661586913,3.869988386,1.929776256
7/31/2020,2020,JAS,0.868030635,0.501865836,0.68746128
10/31/2020,2020,OND,-4.07122061,-2.828929364,-1.039106275
1/31/2021,2021,JFM,-4.030369452,-4.820194292,-1.727451241
4/30/2021,2021,AMJ,-2.675654644,-2.476486181,0.432513146
7/31/2021,2021,JAS,-1.520084981,0.918070384,-0.382931917
10/31/2021,2021,OND,-0.053977931,-0.149180862,-1.583609332
1/31/2022,2022,JFM,-5.741488736,-3.951008561,-0.997005458
4/30/2022,2022,AMJ,-2.879270746,-5.216099183,-0.351382197
7/31/2022,2022,JAS,2.700714936,0.741576223,0.432187515
10/31/2022,2022,OND,-1.251605642,-1.677533293,-1.675030664
1/31/2023,2023,JFM,-0.388075602,-0.118096888,-1.473457325
4/30/2023,2023,AMJ,0.656506782,1.289984955,-0.320057822
7/31/2023,2023,JAS,1.52147592,2.569978004,1.481503879
10/31/2023,2023,OND,6.314492105,6.700222186,2.809061567
