,MidYear,Jackknife,Winter,Summer,Matches,Abundance,SPLASHabund,BiasFactor,BiasCorrAbund
31,2012,1,3196,2430,256,30241.88327,18910.74939,1.113810963,33683.74114
32,2013,1,3348,2366,266,29690.44944,19574.04444,1.076067854,31948.93821
33,2014,1,3877,2389,331,27917.92771,18500.84032,1.138488827,31784.24878
34,2015,1,3710,2417,329,27192.50909,17875.89641,1.17829056,32040.67677
35,2016,1,3934,2496,368,26628.89973,19043.04457,1.106073134,29453.51059
36,2017,1,3961,2271,326,27529.02446,18259.95335,1.153507876,31754.94654
37,2018,1,4856,2403,486,23976.82752,18331.02826,1.149035379,27550.22309
38,2019,1,4884,2296,484,23136.76289,17954.352,1.173141754,27142.7026
39,2020,1,4791,2220,453,23443.80176,17888.44874,1.177463754,27604.22682
40,2021,1,4578,2519,522,22064.25048,17918.82609,1.175467628,25935.81218
41,2002,2,1827,1187,137,15737.69565,15187.46154,1.38686771,21826.10193
42,2003,2,2924,2951,463,18610.05172,19625.09091,1.073268914,19973.59
43,2004,2,4118,3076,651,19439.90031,19866.45925,1.06022919,20610.74976
44,2005,2,5452,3076,837,20023.53103,20023.53103,1.051912371,21063
45,2006,2,5174,2340,602,20091.67164,19109.32019,1.102237013,22145.78413
46,2007,2,4821,2578,535,23202.37687,19371.61994,1.087312268,25228.229
47,2008,2,3594,2392,355,24166.26685,18227.34534,1.155571456,27925.84818
48,2009,2,3103,2556,324,24422.31692,18988.86603,1.109228954,27089.94105
49,2010,2,2767,2608,302,23835.033,21687.82282,0.971190155,23148.34939
50,2011,2,2891,2473,266,26798.03371,21044.55294,1.000876572,26821.5241
51,2012,2,3199,2413,268,28717.72862,19216.9204,1.09606532,31476.50641
52,2013,2,3353,2351,245,32068.5122,19431.06897,1.083985654,34761.80716
53,2014,2,3892,2385,337,27482.35503,18615.62525,1.131468845,31095.4285
54,2015,2,3723,2406,316,28277.55521,18000.33333,1.170144997,33088.83976
55,2016,2,3952,2482,360,27190.19391,18625.85579,1.130847368,30747.95922
56,2017,2,3972,2270,337,26695.3284,17867.69901,1.17883114,31469.28442
57,2018,2,4864,2394,499,23304.35,18321.24371,1.149649027,26791.8233
58,2019,2,4885,2286,501,22260.5259,17995.01288,1.170490965,26055.74445
59,2020,2,4789,2222,451,23558.89823,17286.99026,1.218430721,28704.88535
60,2021,2,4587,2524,516,22408.54352,17633.72451,1.194472557,26766.39028
61,2002,3,1840,1187,150,14485.15894,21030.88462,1.001527058,14507.27862
62,2003,3,2928,2943,479,17965.53333,20242.7277,1.040521827,18693.52956
63,2004,3,4118,3073,649,19480.70154,20690.22549,1.018016938,19831.68413
64,2005,3,5454,3073,826,20277.50544,20277.50544,1.038737238,21063
65,2006,3,5194,2351,600,20331.51581,19488.46411,1.080793226,21974.16456
66,2007,3,4856,2582,546,22936.34004,19421.48142,1.084520771,24874.93717
67,2008,3,3609,2405,368,23539.37398,18209.93082,1.156676553,27227.44195
68,2009,3,3147,2573,328,24630.03343,19247.91686,1.094300238,26952.65144
69,2010,3,2800,2642,292,25267.35836,20565.00833,1.024215486,25879.21972
70,2011,3,2912,2509,271,26881.99265,20655.32203,1.019737188,27412.56758
71,2012,3,3210,2442,282,27719.98587,19040.98301,1.106192889,30663.65124
72,2013,3,3373,2370,257,31007.79845,20460.7289,1.029435466,31920.52746
73,2014,3,3904,2350,322,28424.0805,18852.44764,1.117255457,31756.95904
74,2015,3,3728,2380,320,27660.65421,18498.39375,1.138639402,31495.51077
75,2016,3,3929,2467,365,26501.65574,19169.4585,1.098779081,29119.46495
76,2017,3,3950,2264,346,25790.66859,18841.03158,1.117932418,28832.22451
77,2018,3,4869,2376,483,23918.33471,18145.18495,1.16080382,27764.49429
78,2019,3,4898,2273,491,22643.93902,18293.81773,1.151372573,26071.61034
79,2020,3,4778,2204,452,23263.01987,17741.22727,1.187234664,27618.66358
80,2021,3,4576,2504,498,22977.72345,17505.40458,1.203228403,27647.44949
81,2002,4,1833,1190,148,14660.69128,19858.21818,1.06066918,15550.1434
82,2003,4,2919,2979,486,17868.76181,19958.79817,1.055324064,18857.33434
83,2004,4,4082,3101,658,19220.22003,19852.82759,1.060957181,20391.83047
84,2005,4,5422,3101,840,20003.55172,20003.55172,1.052963008,21063
85,2006,4,5152,2360,595,20414.14262,19815.71173,1.06294441,21699.09877
86,2007,4,4816,2580,529,23458.88113,19427.05781,1.084209467,25434.34101
87,2008,4,3616,2418,365,23906.80055,18498.93446,1.138606121,27220.42942
88,2009,4,3136,2570,337,23862.61834,19249.75179,1.094195927,26110.37979
89,2010,4,2774,2641,301,24277.65563,20366.41667,1.034202547,25108.0133
90,2011,4,2901,2506,264,27455.01509,20787.61143,1.013247726,27818.7316
91,2012,4,3178,2430,267,28837.37687,19130.08168,1.101040777,31751.12783
92,2013,4,3342,2368,272,29010.40293,20152.56997,1.04517687,30321.00212
93,2014,4,3884,2403,358,26016.43175,18385.92126,1.145604819,29804.5496
94,2015,4,3714,2421,327,27433.10366,18476.83162,1.139968174,31272.86508
95,2016,4,3932,2505,356,27609.11765,18355,1.147534732,31682.42141
96,2017,4,3924,2260,335,26412.97917,18644.75,1.12970139,29838.77929
97,2018,4,4832,2409,506,22974.43195,18031.2322,1.168139801,26837.34838
98,2019,4,4858,2308,492,22758.46653,17669.39528,1.19206117,27129.48423
99,2020,4,4762,2243,468,22790.27932,17580.23026,1.198107174,27305.19715
100,2021,4,4553,2537,523,22058.35115,17566.42857,1.19904851,26449.03307
101,2002,5,1820,1204,158,13801.66038,17011.11628,1.238190349,17089.08268
102,2003,5,2887,2973,509,16842.00392,19521.25455,1.078977786,18172.14809
103,2004,5,4087,3102,682,18573.56808,19946.06918,1.055997541,19613.64221
104,2005,5,5443,3102,844,19992.39882,19992.39882,1.053550411,21063
105,2006,5,5180,2371,600,20449.13977,19415.42654,1.084858989,22184.43309
106,2007,5,4850,2587,549,22827.16,19226.70904,1.095507295,25007.3203
107,2008,5,3613,2419,386,22600.17313,19055.20479,1.105367286,24981.49202
108,2009,5,3128,2570,320,25062.24299,19670.09291,1.070813447,26836.98682
109,2010,5,2794,2646,291,25337.86644,19889.07796,1.059023452,26833.39479
110,2011,5,2916,2505,270,26975.17712,19973.68306,1.05453761,28446.33882
111,2012,5,3181,2433,269,28686.14074,18891.21463,1.114962717,31983.97743
112,2013,5,3342,2382,266,29837.58801,18878.65166,1.11570468,33289.93658
113,2014,5,3883,2395,316,29357.66877,18428.8495,1.142936242,33553.94362
114,2015,5,3720,2424,307,29297.83442,18839.04802,1.118050126,32756.44745
115,2016,5,3932,2518,353,27987.51695,19426.93529,1.084216305,30344.52221
116,2017,5,3950,2287,358,25181.74652,18952.54717,1.111354575,27985.84919
117,2018,5,4850,2421,517,22682.7027,18104.42373,1.163417313,26389.44902
118,2019,5,4878,2317,501,22529.92829,17839.36278,1.180703608,26601.16762
119,2020,5,4771,2244,434,24628.90805,17563.52459,1.199246762,29536.13823
120,2021,5,4565,2541,511,22670.47656,17667.31963,1.192201219,27027.76979
121,2002,6,1819,1205,153,14253.72727,19425.0708,1.084320372,15455.60686
122,2003,6,2891,2961,455,18786.31579,20156.53882,1.044971073,19631.15657
123,2004,6,4088,3092,654,19309.81985,19855.43799,1.060817697,20484.19862
124,2005,6,5464,3092,846,19957.60567,19957.60567,1.055387122,21063
125,2006,6,5192,2346,601,20246.799,18838.6677,1.118072697,22637.39317
126,2007,6,4851,2584,535,23401.03731,19208.38132,1.096552575,25660.46773
127,2008,6,3629,2422,365,24032.39344,18248.90456,1.154206266,27738.3391
128,2009,6,3153,2589,335,24313.08333,19087.1215,1.103518936,26829.94785
129,2010,6,2788,2656,300,24620.1794,20471.64365,1.028886608,25331.37288
130,2011,6,2905,2517,261,27929.65649,20048.41918,1.050606525,29343.07934
131,2012,6,3203,2447,268,29158.59108,20060.82609,1.049956762,30615.25987
132,2013,6,3367,2380,267,29923.41791,19850.52475,1.061080262,31751.14811
133,2014,6,3904,2381,327,28359.87195,18493.46521,1.138942852,32300.27343
134,2015,6,3736,2412,311,28902.86218,18329.01016,1.149161892,33214.06779
135,2016,6,3951,2496,370,26599.77089,18515.34146,1.137597167,30259.82401
136,2017,6,3962,2292,369,24560.88919,19131.86105,1.100938374,27040.02541
137,2018,6,4865,2407,519,22534.32308,18195.6087,1.157586995,26085.43934
138,2019,6,4896,2304,530,21258.22222,17832.88784,1.18113231,25108.77312
139,2020,6,4794,2229,440,24247.8254,17733.7529,1.187735056,28799.99226
140,2021,6,4591,2537,516,22543.54545,17344,1.214425738,27377.46183
141,2002,7,1833,1181,150,14357.21192,18065.9,1.165898184,16739.0473
142,2003,7,2929,2977,467,18645.31624,21869.5213,0.963121218,17957.69969
143,2004,7,4102,3113,664,19214.14586,19748.66924,1.066552877,20492.90255
144,2005,7,5445,3113,843,20094.41706,20094.41706,1.048201594,21063
145,2006,7,5185,2363,632,19368.62085,19774.71613,1.065148034,20630.44842
146,2007,7,4863,2598,554,22778.54234,19301.05496,1.091287499,24857.93851
147,2008,7,3607,2440,376,23362.08223,17974.73061,1.17181172,27375.96176
148,2009,7,3134,2597,333,24386.41916,20672.90355,1.01886994,24846.58942
149,2010,7,2769,2655,290,25283.19931,21576.13196,0.976217611,24681.90443
150,2011,7,2889,2518,260,27893.37548,19158.65789,1.099398513,30665.93552
151,2012,7,3198,2456,292,26826.74403,18849.78417,1.117413325,29976.56123
152,2013,7,3350,2378,254,31263.85882,18982.02143,1.109628923,34691.282
153,2014,7,3874,2397,337,27492.86391,18773.22222,1.121970419,30846.18003
154,2015,7,3705,2430,323,27807.43827,19048.11628,1.105778634,30748.87111
155,2016,7,3932,2507,352,27944.24079,18897.48276,1.114592894,31146.45222
156,2017,7,3963,2287,358,25264.59889,18213.11245,1.156474494,29217.86421
157,2018,7,4855,2416,536,21857.52142,18085.6718,1.164623589,25455.78503
158,2019,7,4882,2307,526,21386.13093,17918.27186,1.175503986,25139.48216
159,2020,7,4794,2239,445,24083.51121,17522.69657,1.202041016,28949.36829
160,2021,7,4584,2537,529,21957.09434,17447.37181,1.207230534,26507.27473
161,2002,8,1834,1189,150,14462.25828,19497.875,1.080271568,15623.16643
162,2003,8,2945,2961,478,18218.22756,19349.2306,1.088570416,19831.82355
163,2004,8,4113,3086,665,19069.94595,20256.05263,1.039837346,19829.64197
164,2005,8,5443,3086,842,19936.50178,19936.50178,1.056504307,21063
165,2006,8,5166,2354,601,20214.09801,19501.45673,1.08007316,21832.70471
166,2007,8,4838,2589,549,22788.29091,19645.2163,1.072169411,24432.90845
167,2008,8,3606,2416,350,24838.94587,18510.80679,1.137875849,28263.63662
168,2009,8,3137,2573,328,24551.79635,18316.67347,1.149935879,28232.99151
169,2010,8,2787,2640,301,24382.15232,20625.95238,1.021189209,24898.79084
170,2011,8,2914,2507,273,26682.82482,20196.63536,1.042896484,27827.42418
171,2012,8,3179,2437,272,28399.68132,19578.87879,1.075802155,30552.43837
172,2013,8,3343,2372,244,32390.02857,18894.6,1.114762948,36107.20374
173,2014,8,3873,2404,334,27812.85075,18305.45972,1.150640318,32002.58743
174,2015,8,3714,2417,331,27057.83735,18793.61506,1.120752975,30325.15172
175,2016,8,3935,2490,369,26499.85405,18892.28324,1.114899652,29544.67805
176,2017,8,3956,2266,360,24850.0831,17694.33136,1.190381234,29581.07259
177,2018,8,4853,2405,510,22855.64579,18023.72222,1.168626532,26709.71409
178,2019,8,4879,2301,487,23021,18061.7074,1.16616882,26846.3724
179,2020,8,4778,2225,449,23641.12,17355.08483,1.213650075,28692.04706
180,2021,8,4565,2526,507,22714.15354,17697.75153,1.190151187,27033.27681
181,2002,9,1839,1188,149,14586.06667,18699.80342,1.126375477,16429.3878
182,2003,9,2912,2978,467,18543.36538,19768.25968,1.065495918,19757.88013
183,2004,9,4091,3102,646,19626.15611,19903,1.058282671,20770.0209
184,2005,9,5423,3102,848,19825.11307,19825.11307,1.062440346,21063
185,2006,9,5154,2355,591,20516.50676,19371.30303,1.087330056,22308.21443
186,2007,9,4838,2586,541,23097.85055,19171.73966,1.098648342,25376.41522
187,2008,9,3626,2416,368,23758.34146,19017.18004,1.107577462,26314.20353
188,2009,9,3136,2573,320,25155.63551,18606.15668,1.132044643,28477.30243
189,2010,9,2777,2642,290,25232.1134,19952.77717,1.055642521,26636.09181
190,2011,9,2908,2499,261,27758.63359,19709.67209,1.068663137,29664.62845
191,2012,9,3197,2428,268,28878.10781,18855.22816,1.117090699,32259.46564
192,2013,9,3352,2366,260,30409.24138,19217.83051,1.096013413,33328.93642
193,2014,9,3883,2383,337,27395.84024,18669.25806,1.128218375,30908.49036
194,2015,9,3711,2413,308,29000.24919,18905.57384,1.114115878,32309.63809
195,2016,9,3950,2496,364,27030.16986,19083.48936,1.103728967,29833.98146
196,2017,9,3968,2265,347,25845.12069,18855.83019,1.117055032,28870.42213
197,2018,9,4851,2408,483,24150.72727,18321.48276,1.149634027,27764.49784
198,2019,9,4879,2302,521,21530.96169,18098.64895,1.163788527,25057.48618
199,2020,9,4778,2224,461,23016.74675,17605.75993,1.196369829,27536.54138
200,2021,9,4575,2529,523,22095.0458,17101.85672,1.231620656,27212.71481
201,2002,10,1828,1203,156,14027.21656,19317.80702,1.090341154,15294.45149
202,2003,10,2911,2967,491,17567.69919,19778.61098,1.064938282,18708.51539
203,2004,10,4101,3103,671,18948.33333,20670.81818,1.018972728,19307.83491
204,2005,10,5453,3103,842,20083.10676,20083.10676,1.048791915,21063
205,2006,10,5192,2367,618,19866.95153,19899.09709,1.058490237,21028.97425
206,2007,10,4862,2602,547,23100.25,19209.48103,1.096489799,25329.18848
207,2008,10,3595,2426,363,23977.62637,18491.44915,1.139067026,27312.12357
208,2009,10,3134,2582,326,24764.62385,18076.23438,1.165231628,28856.52296
209,2010,10,2776,2645,296,24741.54545,20022.64033,1.051959165,26027.0955
210,2011,10,2893,2520,276,26339.5343,20044.33516,1.050820585,27678.12483
211,2012,10,3180,2453,274,28387.08727,19180.7887,1.098130026,31172.7129
212,2013,10,3341,2393,260,30655.2069,19373.27119,1.087219592,33328.94154
213,2014,10,3890,2402,341,27340.39474,19160.98566,1.099264953,30054.33774
214,2015,10,3715,2418,330,27158.11178,18308.54379,1.150446493,31243.95447
215,2016,10,3931,2503,383,25640.91667,18683.59583,1.127352582,28906.35362
216,2017,10,3940,2277,339,26405.7,18743.37578,1.123757014,29673.59058
217,2018,10,4839,2412,513,22722.63424,17777.13394,1.18483666,26922.61006
218,2019,10,4889,2308,480,23475.03326,17560.89114,1.199426603,28156.5794
219,2020,10,4796,2243,445,24136.57848,17447.46353,1.207224188,29138.26136
220,2021,10,4585,2536,506,22949.09073,17392.15396,1.211063336,27792.80238
221,2002,11,1836,1205,152,14480.88235,18310.27273,1.150337863,16657.90726
222,2003,11,2914,2974,476,18181.55556,20502.47754,1.027339255,18678.62574
223,2004,11,4106,3097,671,18934.75893,20133.0981,1.04618772,19809.31227
224,2005,11,5437,3097,856,19659.021,19659.021,1.071416527,21063
225,2006,11,5163,2387,613,20085.09121,18657.02421,1.128958175,22675.22791
226,2007,11,4838,2608,539,23380.53889,19514.06182,1.079375488,25236.38057
227,2008,11,3601,2422,363,23978.04945,18851.20734,1.117328966,26791.36919
228,2009,11,3127,2584,321,25112.42857,18632.05991,1.130470818,28388.86766
229,2010,11,2787,2662,308,24028.32686,20012.97844,1.052467031,25289.02184
230,2011,11,2919,2522,267,27490.40299,18511.45226,1.137836173,31279.57493
231,2012,11,3190,2457,284,27521.97544,19415.5495,1.084852118,29857.27334
232,2013,11,3345,2365,266,29651.3221,19357.07824,1.088129094,32264.46624
233,2014,11,3880,2389,330,28023.93051,18152.83953,1.160314339,32516.56841
234,2015,11,3723,2417,310,28954.80064,18682.80913,1.127400053,32643.64378
235,2016,11,3944,2501,361,27267.27072,18873.63862,1.116001022,30430.302
236,2017,11,3952,2285,362,24895.09917,18788.02287,1.121086564,27909.56119
237,2018,11,4852,2415,504,23218.52079,17712.25076,1.189176931,27610.92931
238,2019,11,4884,2306,498,22585.55912,17974.99522,1.17179447,26465.63329
239,2020,11,4790,2231,484,22049.47835,17193.14148,1.225081526,27012.40859
240,2021,11,4579,2533,502,23074.00199,17220.16914,1.223158718,28223.16668
241,2002,12,1843,1197,147,14927.43243,18108.47541,1.163157004,17362.94758
242,2003,12,2913,2953,482,17822.85507,20496.13333,1.027657249,18315.78622
243,2004,12,4101,3089,645,19622.02167,19561.46296,1.076759956,21128.20719
244,2005,12,5452,3089,835,20156.22727,20156.22727,1.044987225,21063
245,2006,12,5183,2338,599,20209.96,19589.65267,1.075210488,21729.96095
246,2007,12,4854,2561,550,22575.42831,19137.16923,1.100633001,24847.26141
247,2008,12,3633,2408,373,23408.23529,18353.84277,1.147607085,26863.45668
248,2009,12,3125,2572,322,24902.5418,18533.71429,1.136469446,28300.97787
249,2010,12,2773,2631,301,24177.05298,19895.19074,1.058698068,25596.19929
250,2011,12,2894,2489,254,28269.82353,19750.45205,1.066456603,30148.53996
251,2012,12,3178,2434,248,31088.81124,19798.6087,1.063862634,33074.22462
252,2013,12,3345,2370,257,30750.48062,18800.4455,1.120345792,34451.17156
253,2014,12,3873,2381,340,27062.19648,18833.38367,1.118386391,30265.99226
254,2015,12,3715,2405,325,27426.44785,18666.33612,1.128394982,30947.86612
255,2016,12,3942,2480,374,26087.888,18922.82398,1.113100244,29038.43451
256,2017,12,3960,2277,353,25490.14689,18721.24481,1.125085442,28678.59319
257,2018,12,4861,2393,519,22384.9,18302.30189,1.150838847,25761.41251
258,2019,12,4888,2285,476,23431.30189,18173.77073,1.158977975,27156.36281
259,2020,12,4792,2216,456,23252.81838,17506.89951,1.203125659,27976.06243
260,2021,12,4586,2523,492,23484.95132,17649.7622,1.193387184,28026.63991
261,2002,13,1838,1203,158,13926.50943,17573.66667,1.198554656,16691.68272
262,2003,13,2926,2964,470,18426.80679,18544.92094,1.13578268,20928.848
263,2004,13,4094,3092,670,18877.05812,19456.96774,1.082542783,20435.22303
264,2005,13,5424,3092,841,19929.17696,19929.17696,1.056892617,21063
265,2006,13,5166,2369,625,19562.96486,19285.70866,1.092155874,21365.80698
266,2007,13,4841,2617,564,22437.02832,19354.21527,1.088290055,24417.99479
267,2008,13,3632,2414,384,22789.81818,18394.49057,1.145071125,26095.96274
268,2009,13,3138,2567,322,24957.50774,17874.50776,1.1783821,29409.48039
269,2010,13,2779,2640,299,24474.26667,18923.62887,1.113052901,27241.1535
270,2011,13,2899,2520,269,27078.40741,19393.30769,1.086096314,29409.75847
271,2012,13,3177,2459,275,28326.65217,19304.40741,1.091097984,30907.15307
272,2013,13,3338,2365,260,30269.48276,18946.02158,1.111737359,33651.71482
273,2014,13,3863,2390,335,27497.5,18187.66142,1.158092815,31844.65717
274,2015,13,3695,2423,321,27824.30435,17777,1.184845587,32967.50422
275,2016,13,3907,2495,351,27712.27273,18199.44776,1.157342809,32072.59957
276,2017,13,3938,2278,341,26249.48246,18820.66667,1.119142078,29376.90034
277,2018,13,4840,2403,504,23046.07723,17822.99694,1.181787781,27235.57247
278,2019,13,4868,2304,504,22224.85149,17758.98259,1.186047674,26359.73341
279,2020,13,4765,2235,436,24387.2151,17189.34839,1.225351859,29882.91936
280,2021,13,4561,2529,509,22632.09804,17176.3869,1.226276522,27753.21048
281,2002,14,1839,1195,162,13501.8589,19304.85965,1.091072423,14731.50591
282,2003,14,2928,2974,480,18116.95634,21410.76658,0.983757397,17822.68981
283,2004,14,4061,3105,660,19088.09834,19900.95584,1.058391374,20202.67863
284,2005,14,5394,3105,830,20165.70517,20165.70517,1.04449608,21063
285,2006,14,5127,2373,610,19925.50409,19892.94771,1.058817441,21097.47126
286,2007,14,4823,2604,548,22890.83607,20171.97913,1.044171217,23901.95215
287,2008,14,3643,2426,381,23152.80105,18817.99574,1.119300923,25914.95157
288,2009,14,3151,2575,322,25138.93189,17885.47577,1.177659475,29605.10132
289,2010,14,2784,2634,300,24381.31561,20731.15537,1.01600705,24771.58854
290,2011,14,2890,2506,259,27876.91154,19484.16398,1.081031756,30135.82663
291,2012,14,3174,2451,258,30059.30116,19860.94898,1.060523343,31878.59054
292,2013,14,3320,2381,251,31392.35714,19777.555,1.064995142,33432.70786
293,2014,14,3850,2397,327,28155.56707,18470.396,1.140365372,32107.63371
294,2015,14,3678,2419,324,27395.4,18096.89431,1.163901366,31885.54347
295,2016,14,3918,2504,353,27732.90678,19250.20588,1.094170116,30344.51782
296,2017,14,3941,2287,348,25844.25501,18332.90244,1.148917912,29692.92752
297,2018,14,4812,2417,491,23655.13415,17932.94761,1.174541991,27783.94837
298,2019,14,4834,2305,495,22479.85081,17984.08065,1.171202488,26328.4572
299,2020,14,4741,2225,452,23302.74834,17506.29353,1.203167304,28037.10491
300,2021,14,4532,2524,515,22182.8314,17529.06279,1.201604459,26654.98911
301,2002,15,1839,1191,153,14243.07792,15894.33333,1.325189271,18874.77405
302,2003,15,2943,2978,483,18121.19835,19665.07175,1.071086862,19409.37748
303,2004,15,4119,3113,661,19381.18127,20528.488,1.026037573,19885.82019
304,2005,15,5449,3113,843,20109.17536,20109.17536,1.04743231,21063
305,2006,15,5180,2381,619,19906.06774,19253.95164,1.093957251,21776.38714
306,2007,15,4856,2614,540,23477.9963,19541.08462,1.077882851,25306.52959
307,2008,15,3635,2422,363,24204.37363,17980.64898,1.171426016,28353.63297
308,2009,15,3142,2574,321,25135.23913,19455.86779,1.082603985,27211.51005
309,2010,15,2791,2635,290,25292.10653,20219.98901,1.041691961,26346.58404
310,2011,15,2926,2496,256,28439.59533,19490.91733,1.080657192,30733.45324
311,2012,15,3202,2449,272,28745.87179,19140.87805,1.100419738,31632.5247
312,2013,15,3346,2372,271,29201.11397,19420.1467,1.084595308,31671.39121
313,2014,15,3874,2400,335,27691.10417,18424.51485,1.143205136,31656.6125
314,2015,15,3703,2432,352,25530.26912,18505.7885,1.138184412,29058.15434
315,2016,15,3909,2516,388,25300.40874,18675.51613,1.127840315,28534.82097
316,2017,15,3933,2273,349,25560.76,18408.23457,1.144216189,29247.03539
317,2018,15,4851,2419,497,23578.99197,18177.22291,1.158757864,27322.34238
318,2019,15,4892,2321,509,22278.54118,17781.19718,1.184565909,26390.40037
319,2020,15,4789,2240,459,23336.63043,17398.71475,1.210606663,28251.48029
320,2021,15,4584,2539,520,22353.97505,17228.66272,1.222555711,27328.97985
321,2002,16,1825,1193,152,14250.96078,18019.54545,1.168897409,16657.91114
322,2003,16,2912,2965,477,18076.22594,20000.90278,1.053102464,19036.11808
323,2004,16,4082,3100,692,18271.39394,20455.57674,1.029694751,18813.95844
324,2005,16,5424,3100,832,20196.58824,20196.58824,1.042898917,21063
325,2006,16,5151,2351,611,19800.84314,19704.25854,1.068956742,21166.24476
326,2007,16,4819,2586,555,22427.8705,19514.83412,1.079332772,24207.13564
327,2008,16,3579,2429,366,23705.08719,18629.26552,1.130640388,26801.92898
328,2009,16,3099,2578,326,24450.23547,18550.65197,1.135431791,27761.57466
329,2010,16,2756,2638,301,24092.79801,21400.18529,0.984243814,23713.18741
330,2011,16,2892,2501,255,28275.55469,19511.20485,1.079533538,30524.40958
331,2012,16,3195,2454,266,29387.44195,19965.83461,1.054952143,31002.34485
332,2013,16,3349,2382,255,31184.78906,20058.91457,1.050056818,32745.80036
333,2014,16,3861,2404,333,27809.71257,18320.74359,1.14968041,31972.28175
334,2015,16,3711,2433,337,26731.7929,19142.9661,1.100299707,29412.9839
335,2016,16,3929,2513,353,27910.66102,19074.39768,1.104255052,30820.48842
336,2017,16,3960,2290,341,26535.06725,19474.5,1.081568205,28699.48505
337,2018,16,4839,2411,514,22669.1165,18356.4717,1.14744273,26011.51293
338,2019,16,4865,2308,497,22562.43373,18359.81373,1.147233862,25884.38798
339,2020,16,4759,2240,471,22600.91525,17720.53488,1.188621006,26863.92263
340,2021,16,4550,2538,498,23157.29058,17723.37577,1.188430482,27520.83
341,2002,17,1826,1175,140,15238.95745,16402.16031,1.284160111,19569.26129
342,2003,17,2925,2941,484,17750.05567,19790.17701,1.064315897,18891.66642
343,2004,17,4117,3073,678,18644.19882,19446.05684,1.083150182,20194.46735
344,2005,17,5458,3073,849,19743.31294,19743.31294,1.06684223,21063
345,2006,17,5191,2362,609,20113.61639,18905,1.114149696,22409.57959
346,2007,17,4860,2590,542,23195.93738,18912.18769,1.113726257,25833.92452
347,2008,17,3605,2400,369,23401.01622,18076.1691,1.165235835,27267.70267
348,2009,17,3132,2572,319,25192.27813,18363.66287,1.146993394,28895.37659
349,2010,17,2776,2637,300,24338.96013,20016.64481,1.052274255,25611.26114
350,2011,17,2909,2487,261,27634.89313,20511.14164,1.026905297,28378.41814
351,2012,17,3185,2418,267,28758.21642,18890.54412,1.115002293,32065.47724
352,2013,17,3348,2358,255,30861.51172,19653.46517,1.071719405,33074.88097
353,2014,17,3889,2373,320,28770.03427,18108.56863,1.163151016,33463.89459
354,2015,17,3725,2404,309,28907.54839,19566.56769,1.07647904,31118.36994
355,2016,17,3945,2471,381,25536.37173,18652.07457,1.129257763,28837.14601
356,2017,17,3961,2248,344,25828.64638,18111.84959,1.162940311,30037.17405
357,2018,17,4868,2387,489,23729.92245,18282.71698,1.152071654,27338.57102
358,2019,17,4896,2284,503,22202.67659,18107.22168,1.16323754,25826.98689
